logo,name,lastname,body,product,quantity,price
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/images-5-1.png" alt="" class="wp-image-70"/></figure>,kalani,orozco,We're delighted to have received your order. Thank you for choosing PayPal!,Bitcoin(BTC),0.025,$253.11 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/download-5-2.png" alt="" class="wp-image-43"/></figure>,John,Bryant,Thank you for choosing PayPal for your purchase. Your order is confirmed and in progress.,BTC(Bitcoin),0.025,$253.11 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/images-6.png" alt="" class="wp-image-73"/></figure>,Ethel,Guillory,We're excited to fulfill your order. Thank you for trusting PayPal.,BTC-Bitcon,0.025,$455.54 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/images-6.png" alt="" class="wp-image-73"/></figure>,joyce,hudnall,Thank you for placing your order with PayPal. We're thrilled to serve you.,(BTC)Bitcoin,0.025,$455.54 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/images-6.png" alt="" class="wp-image-73"/></figure>,jane,weiss,We're delighted to have received your order. Thank you for choosing PayPal!,Bitcoin/BTC,0.025,$399.11 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/images-6.png" alt="" class="wp-image-73"/></figure>,kenneth,Feher,Congratulations on your order! We're grateful for your trust in PayPal.,Bitcoin/BTC,0.025,$253.11 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/download-1.png" alt="" class="wp-image-19"/></figure>,Victoria,Cicak,Thank you for trusting PayPal with your order. We can't wait for you to receive it!,BTC-Bitcon,0.025,$152.43 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/download-5-2.png" alt="" class="wp-image-43"/></figure>,Eden,Day,Thank you for trusting PayPal with your order. We can't wait for you to receive it!,BTC(Bitcoin),0.025,$450.76 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/images-4-1.png" alt="" class="wp-image-67"/></figure>,Giancarlo,Bondoc,Congratulations on your purchase through PayPal. Your order is on its way!,(Bitcoin)BTC,0.025,$450.76 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/download-2.png" alt="" class="wp-image-52"/></figure>,Amy,Hinckle,Congratulations on your order! We're as excited as you are at PayPal.,(BTC)Bitcoin,0.025,$253.11 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/images-2.png" alt="" class="wp-image-64"/></figure>,Jennifer,Sanchez,Your order has been successfully placed with PayPal. Get ready for a great shopping experience!,BTC(Bitcoin),0.025,$156.98 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/download-5-1.png" alt="" class="wp-image-40"/></figure>,Alexander,Barnard,Congratulations on your order! We're as excited as you are at PayPal.,(Bitcoin)BTC,0.025,$548.66 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/download-4-1.png" alt="" class="wp-image-37"/></figure>,Scott,Moye,Congratulations! Your order is confirmed and in progress with PayPal.,BTC,0.025,$253.11 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/download-6-1.png" alt="" class="wp-image-46"/></figure>,marie,dinna,Thank you for placing your order. We're excited to fulfill it with PayPal.,BTC-Bitcon,0.025,$455.54 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/download-7-1.png" alt="" class="wp-image-49"/></figure>,Roy,Watts,We appreciate your business. Your order has been successfully processed through PayPal.,BTC,0.025,$458.33 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/download-2.png" alt="" class="wp-image-52"/></figure>,anthony,smith,Thank you for choosing PayPal. Your order has been received and is being processed.,BTC-Bitcon,0.025,$156.98 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/download-3-1.png" alt="" class="wp-image-34"/></figure>,Nanet,Ramirez,Your order has been successfully placed with PayPal. Get ready for a great shopping experience!,BTC/Bitcoin,0.025,$156.98 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/download-5-2.png" alt="" class="wp-image-43"/></figure>,Johnny,Cleveland,We appreciate your order through PayPal. Get ready for a fantastic shopping experience!,BTC(Bitcoin),0.025,$152.43 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/images-3-1.png" alt="" class="wp-image-61"/></figure>,Hilda,Rocha,Congratulations on your order! We're as excited as you are at PayPal.,(BTC)Bitcoin,0.025,$450.76 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/download-4-1.png" alt="" class="wp-image-37"/></figure>,Megan,Singleton,Thank you for choosing PayPal. Your order is confirmed and on its way!,BTC(Bitcoin),0.025,$156.98 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/images-4-1.png" alt="" class="wp-image-67"/></figure>,Joseph,Delucia,Congratulations on your purchase through PayPal. Your order is on its way!,(Bitcoin)BTC,0.025,$399.11 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/download-2.png" alt="" class="wp-image-52"/></figure>,Suzan,Lutfi,Your order has been successfully placed. We appreciate your trust in PayPal.,Bitcoin/BTC,0.025,$455.54 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/download-5-2.png" alt="" class="wp-image-43"/></figure>,Marcelas,Washington,We appreciate your order through PayPal. Get ready for a fantastic shopping experience!,Bitcoin(BTC),0.025,$154.66 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/images-1-1.png" alt="" class="wp-image-57"/></figure>,Magdalena,Naydekova,We appreciate your business. Your order has been successfully processed through PayPal.,BTC(Bitcoin),0.025,$253.11 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/images-3-1.png" alt="" class="wp-image-61"/></figure>,jeff,smart,Thank you for choosing PayPal. Your order is confirmed and on its way!,BTC-Bitcon,0.025,$548.66 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/images-6.png" alt="" class="wp-image-73"/></figure>,Ruben,Ybarra,Congratulations on your purchase! Thank you for choosing PayPal as your payment provider.,(Bitcoin)BTC,0.025,$455.54 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/download-1.png" alt="" class="wp-image-19"/></figure>,Danielle,Delorey,We're excited to fulfill your order. Thank you for trusting PayPal.,(BTC)Bitcoin,0.025,$152.43 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/download-2.png" alt="" class="wp-image-52"/></figure>,Elisa,Deiana,Thank you for trusting PayPal with your order. We can't wait for you to receive it!,Bitcoin/BTC,0.025,$253.11 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/images-2.png" alt="" class="wp-image-64"/></figure>,Devonne,Shedrick,Your order is in good hands with PayPal. We appreciate your business and can't wait to deliver your purchase.,BTC,0.025,$451.65 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/images-1-1.png" alt="" class="wp-image-57"/></figure>,Robyn,Mueller,Thank you for choosing PayPal. Your order is confirmed and on its way!,BTC,0.025,$154.66 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/download-6-1.png" alt="" class="wp-image-46"/></figure>,Sonreah,McCallum,Congratulations on your purchase through PayPal. Your order is on its way!,BTC-Bitcon,0.025,$152.43 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/images-1-1.png" alt="" class="wp-image-57"/></figure>,Tracey,Hidalgo,Congratulations on your purchase! Thank you for choosing PayPal as your payment provider.,BTC,0.025,$156.98 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/images-3-1.png" alt="" class="wp-image-61"/></figure>,Martha,Burrough,Thank you for placing your order. We're excited to fulfill it with PayPal.,Bitcoin/BTC,0.025,$156.98 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/images-5-1.png" alt="" class="wp-image-70"/></figure>,Karl,Luker,We appreciate your purchase through PayPal. Get ready for an amazing shopping experience!,BTC/Bitcoin,0.025,$458.33 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/images-3-1.png" alt="" class="wp-image-61"/></figure>,steve,warner,Congratulations! Your order is confirmed and in progress with PayPal.,(Bitcoin)BTC,0.025,$154.66 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/download-1.png" alt="" class="wp-image-19"/></figure>,Susannah,Thompson,We appreciate your purchase through PayPal. Get ready for an amazing shopping experience!,BTC-Bitcon,0.025,$156.98 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/download-2.png" alt="" class="wp-image-52"/></figure>,Raymond,Cloud,Thank you for choosing PayPal for your purchase. Your order is confirmed and in progress.,(BTC)Bitcoin,0.025,$455.54 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/images-5-1.png" alt="" class="wp-image-70"/></figure>,Julie,WardenGregory,We're excited to fulfill your order. Thank you for choosing PayPal as your payment provider!,BTC(Bitcoin),0.025,$253.11 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/images-3-1.png" alt="" class="wp-image-61"/></figure>,Andres,Torres,We appreciate your purchase through PayPal. Get ready for an amazing shopping experience!,(Bitcoin)BTC,0.025,$253.11 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/images-3-1.png" alt="" class="wp-image-61"/></figure>,Tyrone,McKinney,We appreciate your business. Your order has been successfully processed through PayPal.,Bitcoin/BTC,0.025,$455.54 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/images-1-1.png" alt="" class="wp-image-57"/></figure>,Mike,Jackiwicz,We're delighted to have received your order. Thank you for choosing PayPal!,Bitcoin(BTC),0.025,$152.35 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/download-2.png" alt="" class="wp-image-52"/></figure>,Jordan,Armstrong,We're thrilled to have received your order through PayPal. Thank you for your business!,(Bitcoin)BTC,0.025,$220.76 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/images-2.png" alt="" class="wp-image-64"/></figure>,Jean,German,Thank you for choosing PayPal for your purchase. Your order is confirmed and in progress.,Bitcoin(BTC),0.025,$156.98 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/download-7-1.png" alt="" class="wp-image-49"/></figure>,ASHA,PATEL,Thank you for choosing PayPal. Your order is confirmed and on its way!,BTC,0.025,$152.35 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/download-1.png" alt="" class="wp-image-19"/></figure>,amberly,spradlin,Thank you for trusting PayPal with your purchase. Your order has been received and is being processed.,(BTC)Bitcoin,0.025,$152.35 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/images-1-1.png" alt="" class="wp-image-57"/></figure>,Nicole,Vanvranken,Your order has been successfully placed with PayPal. Get ready for a great shopping experience!,Bitcoin(BTC),0.025,$451.65 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/download-7-1.png" alt="" class="wp-image-49"/></figure>,Joann,Policastro,Your order has been successfully placed with PayPal. Get ready for a great shopping experience!,Bitcoin(BTC),0.025,$154.66 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/images-2.png" alt="" class="wp-image-64"/></figure>,Endre,Joseph,Thank you for placing your order. We're excited to fulfill it with PayPal.,BTC,0.025,$154.66 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/images-4-1.png" alt="" class="wp-image-67"/></figure>,Cliff,Baker,Thank you for your order. We're grateful for your business and excited to fulfill it.,Bitcoin/BTC,0.025,$152.43 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/images-2.png" alt="" class="wp-image-64"/></figure>,Julissa,Sanchez,Your order has been successfully placed. We appreciate your trust in PayPal.,Bitcoin(BTC),0.025,$152.43 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/download-3-1.png" alt="" class="wp-image-34"/></figure>,Marie,Curry,Congratulations on your purchase! Thank you for choosing PayPal as your payment provider.,BTC/Bitcoin,0.025,$220.76 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/download-1.png" alt="" class="wp-image-19"/></figure>,Phillip Andrew,Pascual,Congratulations! Your order is confirmed and in progress with PayPal.,BTC-Bitcon,0.025,$451.65 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/images-4-1.png" alt="" class="wp-image-67"/></figure>,rick,john,We appreciate your purchase through PayPal. Get ready for an amazing shopping experience!,Bitcoin/BTC,0.025,$154.66 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/download-5-1.png" alt="" class="wp-image-40"/></figure>,Bonnie,Diamond,We appreciate your business. Your order has been successfully processed through PayPal.,BTC-Bitcon,0.025,$253.11 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/images-5-1.png" alt="" class="wp-image-70"/></figure>,Brittany,Rosenberg,Congratulations! Your order is confirmed and in progress with PayPal.,BTC,0.025,$152.35 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/download-6-1.png" alt="" class="wp-image-46"/></figure>,Diane,Lapinsky,We're thrilled to have received your order through PayPal. Thank you for your business!,(BTC)Bitcoin,0.025,$152.35 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/images-4-1.png" alt="" class="wp-image-67"/></figure>,Leanne,Bernier,Thank you for placing your order. We're excited to fulfill it with PayPal.,(Bitcoin)BTC,0.025,$220.76 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/images-3-1.png" alt="" class="wp-image-61"/></figure>,Rheaghan,Pavlock,We're excited to fulfill your order. Thank you for trusting PayPal.,BTC-Bitcon,0.025,$458.33 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/images-2.png" alt="" class="wp-image-64"/></figure>,Michael,Rhodes,Your order with PayPal is confirmed. We hope you're eagerly awaiting its arrival!,BTC,0.025,$156.98 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/images-4-1.png" alt="" class="wp-image-67"/></figure>,Courtney,Wiegner,We're excited to fulfill your order. Thank you for trusting PayPal.,(Bitcoin)BTC,0.025,$548.66 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/download-6-1.png" alt="" class="wp-image-46"/></figure>,ralph,counts,Thank you for your purchase through PayPal. Your order is confirmed and on its way!,BTC-Bitcon,0.025,$451.65 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/download-2.png" alt="" class="wp-image-52"/></figure>,Lisa,Burzacki,Congratulations on your purchase through PayPal. Your order is on its way!,(Bitcoin)BTC,0.025,$156.98 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/images-1-1.png" alt="" class="wp-image-57"/></figure>,Peter,Kelly,Thank you for your order. We're grateful for your business and excited to fulfill it.,Bitcoin(BTC),0.025,$253.11 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/images-5-1.png" alt="" class="wp-image-70"/></figure>,joshua,fry,Congratulations on your purchase through PayPal. Your order is on its way!,BTC,0.025,$154.66 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/download-5-1.png" alt="" class="wp-image-40"/></figure>,Wesley,Autry,Congratulations on your order! We're grateful for your trust in PayPal.,(BTC)Bitcoin,0.025,$548.66 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/download-7-1.png" alt="" class="wp-image-49"/></figure>,William,Hyland,We're thrilled to have received your order through PayPal. Thank you for your business!,BTC(Bitcoin),0.025,$455.54 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/images-6.png" alt="" class="wp-image-73"/></figure>,Shajuana,Hayes,Your order has been successfully placed with PayPal. Get ready for a great shopping experience!,(BTC)Bitcoin,0.025,$152.43 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/images-5-1.png" alt="" class="wp-image-70"/></figure>,George,Gillies,We're delighted to have received your order. Thank you for choosing PayPal!,BTC(Bitcoin),0.025,$548.66 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/images-6.png" alt="" class="wp-image-73"/></figure>,Clifton,Hart,Your order has been successfully placed with PayPal. Get ready for a great shopping experience!,(Bitcoin)BTC,0.025,$253.11 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/download-2.png" alt="" class="wp-image-52"/></figure>,sarah,winberg,Your order with PayPal is confirmed. We hope you're eagerly awaiting its arrival!,(BTC)Bitcoin,0.025,$458.33 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/download-6-1.png" alt="" class="wp-image-46"/></figure>,Jesse,Wightman,We appreciate your purchase through PayPal. Get ready for an amazing shopping experience!,(BTC)Bitcoin,0.025,$156.98 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/images-4-1.png" alt="" class="wp-image-67"/></figure>,Beckham,Pearce,Congratulations! Your order is confirmed and in progress with PayPal.,(Bitcoin)BTC,0.025,$253.11 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/download-3-1.png" alt="" class="wp-image-34"/></figure>,Pamela,Camann,Thank you for trusting PayPal with your order. We can't wait for you to receive it!,Bitcoin(BTC),0.025,$451.65 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/images-2.png" alt="" class="wp-image-64"/></figure>,Daniel,Sears,Thank you for trusting PayPal with your order. We can't wait for you to receive it!,BTC/Bitcoin,0.025,$220.76 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/images-6.png" alt="" class="wp-image-73"/></figure>,Eleonora,Robinson,Thank you for choosing PayPal. Your order is confirmed and on its way!,BTC-Bitcon,0.025,$458.33 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/images-1-1.png" alt="" class="wp-image-57"/></figure>,Ashley,Heard,We appreciate your purchase through PayPal. Get ready for an amazing shopping experience!,BTC(Bitcoin),0.025,$451.65 
<figure class="wp-block-image size-full"><img src="https://gift2card.com/wp-content/uploads/2023/07/images-2.png" alt="" class="wp-image-64"/></figure>,Jason,Lavine,Your order has been successfully placed with PayPal. Get ready for a great shopping experience!,Bitcoin(BTC),0.025,$450.76 
